timestamp,pair,side,units,order_id
2025-07-09T12:32:38.539091,GBP_JPY,BUY,1000,654,199.32950,199.27507,199.43836
2025-07-09T12:32:43.914750,GBP_JPY,SELL,-1000,658,199.32750,199.38193,199.21864
2025-07-09T12:32:55.775031,GBP_JPY,BUY,1000,662,199.34850,199.29375,199.45800
2025-07-09T12:33:01.122773,GBP_JPY,SELL,-1000,666,199.34350,199.39825,199.23400
2025-07-09T12:33:06.386037,GBP_JPY,BUY,1000,670,199.34600,199.29371,199.45057
2025-07-09T12:33:11.783638,GBP_JPY,SELL,-1000,674,199.33600,199.38904,199.22993
2025-07-09T12:33:17.231338,GBP_JPY,BUY,1000,678,199.33750,199.28446,199.44357
2025-07-09T12:33:22.879602,GBP_JPY,SELL,-1000,682,199.33100,199.38457,199.22386
2025-07-09T12:33:38.916646,GBP_JPY,BUY,1000,686,199.32800,199.27389,199.43621
2025-07-09T12:33:44.418904,GBP_JPY,SELL,-1000,690,199.32250,199.37682,199.21386
2025-07-09T12:33:49.833450,GBP_JPY,BUY,1000,694,199.33050,199.27618,199.43914
2025-07-09T12:33:55.119244,GBP_JPY,SELL,-1000,698,199.32950,199.38382,199.22086
2025-07-09T12:34:15.939804,GBP_JPY,BUY,1000,702,199.32000,199.26911,199.42179
2025-07-09T12:34:21.344382,GBP_JPY,SELL,-1000,706,199.30650,199.35782,199.20386
2025-07-09T12:34:31.930074,GBP_JPY,BUY,1000,710,199.31550,199.26386,199.41879
2025-07-09T12:34:37.241831,GBP_JPY,SELL,-1000,714,199.30850,199.36014,199.20521
2025-07-09T12:35:01.213832,GBP_JPY,BUY,1000,718,199.29500,199.24496,199.39507
2025-07-09T12:35:06.429518,GBP_JPY,SELL,-1000,722,199.28950,199.33954,199.18943
2025-07-09T12:35:11.758727,GBP_JPY,BUY,1000,726,199.28950,199.23946,199.38957
2025-07-09T12:35:17.275367,GBP_JPY,SELL,-1000,730,199.28950,199.33954,199.18943
2025-07-09T12:35:22.596849,GBP_JPY,BUY,1000,734,199.29250,199.24225,199.39300
2025-07-09T12:35:33.675838,GBP_JPY,SELL,-1000,738,199.29050,199.34086,199.18979
2025-07-09T12:35:39.163321,GBP_JPY,BUY,1000,742,199.29700,199.24664,199.39771
2025-07-09T12:35:49.434295,GBP_JPY,SELL,-1000,746,199.31550,199.36832,199.20986
2025-07-09T12:36:00.023547,GBP_JPY,BUY,1000,750,199.31500,199.26218,199.42064
2025-07-09T12:36:15.476908,GBP_JPY,SELL,-1000,754,199.34900,199.40107,199.24486
2025-07-09T12:36:20.891671,GBP_JPY,BUY,1000,758,199.35550,199.30321,199.46007
2025-07-09T12:36:31.400906,GBP_JPY,SELL,-1000,762,199.36000,199.41282,199.25436
2025-07-09T12:36:41.804588,GBP_JPY,BUY,1000,766,199.37250,199.31829,199.48093
2025-07-09T12:36:58.485706,GBP_JPY,SELL,-1000,770,199.37300,199.42786,199.26329
2025-07-09T12:37:03.773124,GBP_JPY,BUY,1000,774,199.38350,199.33014,199.49021
2025-07-09T12:37:09.075792,GBP_JPY,SELL,-1000,778,199.37850,199.43207,199.27136
2025-07-09T12:37:19.964055,GBP_JPY,BUY,1000,782,199.37100,199.31561,199.48179
2025-07-09T12:37:25.371481,GBP_JPY,SELL,-1000,786,199.36000,199.41539,199.24921
2025-07-09T12:37:30.621775,GBP_JPY,BUY,1000,790,199.36150,199.30611,199.47229
